City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
558,luwuk,ID,-0.9516,122.7875,81.16,81,98,0.87,overcast clouds,2022-01-06 23:57:29
559,seydi,TM,39.4816,62.9137,34.83,71,0,4.43,clear sky,2022-01-06 23:57:29
560,tamandare,BR,-8.7597,-35.1047,79.03,81,12,9.17,few clouds,2022-01-06 23:57:29
561,caucaia,BR,-3.7361,-38.6531,81.07,79,40,6.91,scattered clouds,2022-01-06 23:57:29
562,inuvik,CA,68.3499,-133.7218,-8.12,93,100,22.53,overcast clouds,2022-01-06 23:57:30
563,vila do maio,CV,15.1333,-23.2167,74.19,65,99,18.86,overcast clouds,2022-01-06 23:57:30
564,dunyapur,PK,29.7995,71.7196,53.62,82,100,6.98,light rain,2022-01-06 23:57:30
565,meadow lake,US,34.8014,-106.5436,54.37,34,78,1.92,broken clouds,2022-01-06 23:57:30
566,samfya,ZM,-11.3649,29.5565,66.6,91,95,0.09,moderate rain,2022-01-06 23:57:31
567,luoyang,CN,34.6836,112.4536,37.04,87,100,2.26,light rain,2022-01-06 23:57:31
568,manzhouli,CN,49.6,117.4333,-6.56,98,62,2.82,broken clouds,2022-01-06 23:57:31
569,sao felix do xingu,BR,-6.6447,-51.995,71.26,97,94,1.61,overcast clouds,2022-01-06 23:57:32
570,olinda,BR,-8.0089,-34.8553,82.13,74,40,6.91,scattered clouds,2022-01-06 23:57:32
571,caxito,AO,-8.5785,13.6643,75.96,91,100,1.9,overcast clouds,2022-01-06 23:57:32
572,jonesboro,US,35.8423,-90.7043,25.79,68,100,3.0,overcast clouds,2022-01-06 23:57:32
573,bongandanga,CD,1.5,21.05,72.77,60,100,2.3,overcast clouds,2022-01-06 23:57:33
574,sur,OM,22.5667,59.5289,69.33,50,16,22.7,few clouds,2022-01-06 23:57:33
575,issenye,TZ,-2.0,34.3333,62.82,85,36,3.56,scattered clouds,2022-01-06 23:57:33
576,gimli,CA,50.6336,-96.9907,-17.43,99,96,5.41,overcast clouds,2022-01-06 23:57:33
577,rocha,UY,-34.4833,-54.3333,60.46,78,0,5.44,clear sky,2022-01-06 23:57:34
578,rajauri,IN,33.3833,74.3,47.16,82,100,4.38,overcast clouds,2022-01-06 23:57:34
579,rongcheng,CN,30.634,117.8517,39.4,87,79,3.83,broken clouds,2022-01-06 23:57:34
580,am timan,TD,11.0297,20.2827,74.88,25,69,7.45,broken clouds,2022-01-06 23:57:35
581,sivaki,RU,52.6333,126.75,-2.52,99,100,1.5,overcast clouds,2022-01-06 23:57:35
